Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 141;20202884;Serviços;2020-12-14;Novo Logo;Vendedor 20;Brasil;2;Time 3;108000.0
Cliente 142;20203029;Produtos;2020-12-15;Novo Logo;Vendedor 17;Brasil;24;Time 8;39200.0
Cliente 143;20203034;Produtos;2020-12-16;Novo Logo;Vendedor 17;Brasil;12;Time 8;27477.0
Cliente 144;20203028;Produtos;2020-12-16;Novo Logo;Vendedor 17;Brasil;12;Time 8;2500.0
Cliente 145;20202211;Serviços;2020-12-16;Cross selling;Vendedor 13;Brasil;13;Time 3;585205.25
Cliente 145;20213279;Produtos;2020-12-16;Novo Logo;Vendedor 13;Brasil;37;Time 3;696344.04
Cliente 146;20202986;Licenciamento;2020-12-29;Novo Logo;Vendedor 12;Colombia;11;Time 10;429642.96
Cliente 147;20203147;Produtos;2020-12-31;Novo Logo;Vendedor 17;Brasil;24;Time 8;30800.0
Cliente 148;20213538;Produtos;2021-02-12;Novo Logo;Vendedor 24;Brasil;61;Time 11;463970.0
Cliente 149;20213564;Produtos;2021-02-25;Novo Logo;Vendedor 20;Brasil;61;Time 3;144000.0
Cliente 149;20203154;Produtos;2021-02-25;Novo Logo;Vendedor 20;Brasil;61;Time 3;1427952.0
Cliente 15;20170005;Serviços;2018-03-27;Novo Logo;Vendedor 5;Colombia;5;Time 3;913900.0
Cliente 15;20191003;Serviços;2019-03-31;Upselling;Vendedor 12;Colombia;4;Time 6;757427.76
Cliente 15;20191397;Serviços;2019-07-04;Upselling;Vendedor 12;Colombia;1;Time 6;71958.0
Cliente 15;20191710;Serviços;2019-12-27;Upselling;Vendedor 12;Colombia;1;Time 6;111996.72
Cliente 150;20213369;Produtos;2021-02-25;Novo Logo;Vendedor 26;Brasil;61;Time 12;384000.0
Cliente 151;20213303;Produtos;2021-03-01;Novo Logo;Vendedor 17;Brasil;24;Time 8;77000.0
Cliente 152;20213655;Produtos;2021-03-17;Novo Logo;Vendedor 27;Brasil;61;Time 12;420000.0
Cliente 153;20213282;Produtos;2021-03-29;Novo Logo;Vendedor 19;Brasil;60;Time 3;330000.0
Cliente 154;20213591;Produtos;2021-03-29;Novo Logo;Vendedor 19;Brasil;37;Time 3;34920.0
Cliente 155;20213280;Produtos;2021-03-31;Novo Logo;Vendedor 24;Brasil;24;Time 11;120000.0
Cliente 156;20213471;Produtos;2021-03-31;Novo Logo;Vendedor 7;Brasil;22;Time 5;4775245.0
Cliente 157;20213766;Produtos;2021-03-31;Novo Logo;Vendedor 7;Brasil;61;Time 5;145000.0
Cliente 158;20191649;Licenciamento;2021-04-26;Novo Logo;Vendedor 12;Colombia;24;Time 10;534905.7
Cliente 159;20213375;Produtos;2021-04-29;Novo Logo;Vendedor 25;Brasil;24;Time 3;30720.0
Cliente 16;20180086;Produtos;2018-04-04;Upselling;Vendedor 1;Brasil;8;Time 1;231587.2
Cliente 16;20180373;Produtos;2018-09-28;Cross selling;Vendedor 1;Brasil;12;Time 1;366000.0
Cliente 16;20180069;Produtos;2018-11-30;Upselling;Vendedor 1;Brasil;6;Time 1;489617.84
Cliente 16;20180564;Serviços;2018-12-13;Upselling;Vendedor 1;Brasil;4;Time 1;182606.34
Cliente 16;20191179;Serviços;2019-05-21;Cross selling;Vendedor 1;Brasil;3;Time 1;230882.76
Cliente 16;20191243;Serviços;2019-06-26;Upselling;Vendedor 1;Brasil;3;Time 1;103913.36
Cliente 16;20180137;Serviços;2019-09-18;Upselling;Vendedor 1;Brasil;1;Time 1;517224.0
Cliente 16;20191330;Serviços;2019-09-20;Upselling;Vendedor 1;Brasil;1;Time 1;127502.28
Cliente 16;20191358;Serviços;2019-10-01;Upselling;Vendedor 1;Brasil;5;Time 1;380785.85
Cliente 16;20191586;Serviços;2019-10-14;Upselling;Vendedor 1;Brasil;1;Time 1;103569.45
Cliente 16;20190853;Produtos;2019-11-22;Renovação;Vendedor 1;Brasil;12;Time 1;438000.0
Cliente 16;20191709;Serviços;2019-11-29;Upselling;Vendedor 1;Brasil;1;Time 1;118000.0
Cliente 16;20191708;Produtos;2019-11-29;Upselling;Vendedor 1;Brasil;6;Time 1;148000.0
Cliente 16;20191763;Licenciamento;2019-12-13;Cross selling;Vendedor 1;Brasil;12;Time 1;320000.0
Cliente 16;20202552;Serviços;2020-09-22;Upselling;Vendedor 20;Brasil;6;Time 3;518000.0
Cliente 16;20202094;Serviços;2020-09-22;Cross selling;Vendedor 20;Brasil;13;Time 3;550000.0
