"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 5","2018-0519","Serviços","2018-10-24","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 700.045,50"
"Cliente 5","2018-0666","Licenciamento","2018-10-26","Cross selling","Vendedor 3","Argentina",12,"Time 1","R$ 1.989.000,00"
"Cliente 5","2018-0665","Licenciamento","2018-10-26","Novo Logo","Vendedor 3","Argentina",14,"Time 1","R$ 7.122.171,55"
"Cliente 5","2018-0528","Serviços","2018-10-29","Upselling","Vendedor 3","Brasil",5,"Time 1","R$ 440.000,00"
"Cliente 5","2018-0357","Licenciamento","2018-11-12","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 278.888,28"
"Cliente 5","2018-0356","Licenciamento","2018-11-12","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 629.148,46"
"Cliente 5","2018-0596","Serviços","2018-11-26","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 116.996,96"
"Cliente 5","2018-0597","Serviços","2018-11-26","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 116.996,96"
"Cliente 5","2018-0599","Serviços","2018-11-26","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 187.803,00"
"Cliente 5","2018-0598","Serviços","2018-11-26","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 344.841,12"
"Cliente 5","2018-0611","Serviços","2018-12-03","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 23.874,75"
"Cliente 5","2018-0612","Serviços","2018-12-03","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 206.280,00"
"Cliente 5","2018-0607","Serviços","2018-12-21","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 117.734,40"
"Cliente 5","2019-0908","Serviços","2019-02-25","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 165.867,76"
"Cliente 5","2019-0905","Serviços","2019-02-25","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 207.602,50"
"Cliente 5","2019-0906","Serviços","2019-02-25","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 414.415,99"
"Cliente 5","2019-0907","Serviços","2019-02-25","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 486.320,82"
"Cliente 5","2019-0962","Serviços","2019-03-13","Upselling","Vendedor 3","Brasil",10,"Time 1","R$ 219.848,75"
"Cliente 5","2019-1127","Serviços","2019-04-04","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 461.681,04"
"Cliente 5","2019-1128","Serviços","2019-04-04","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 461.688,46"
"Cliente 5","2019-1217","Serviços","2019-05-08","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 44.891,00"
"Cliente 5","2019-1269","Serviços","2019-05-29","Upselling","Vendedor 3","Brasil",7,"Time 1","R$ 214.488,48"
"Cliente 5","2018-0354","Licenciamento","2019-06-05","Renovação","Vendedor 3","Brasil",37,"Time 1","R$ 1.838.012,37"
"Cliente 5","2018-0355","Licenciamento","2019-06-05","Renovação","Vendedor 3","Brasil",37,"Time 1","R$ 3.315.000,00"
"Cliente 5","2018-0353","Licenciamento","2019-06-05","Renovação","Vendedor 3","Brasil",37,"Time 1","R$ 6.922.370,84"
"Cliente 5","2019-1362","Serviços","2019-06-27","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 200.000,00"
"Cliente 5","2019-1428","Serviços","2019-07-17","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 153.242,32"
"Cliente 5","2019-1483","Serviços","2019-07-22","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 134.038,08"
"Cliente 5","2019-1482","Serviços","2019-07-22","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 512.132,40"
"Cliente 5","2019-1351","Serviços","2019-07-23","Upselling","Vendedor 3","Brasil",5,"Time 1","R$ 317.832,80"
"Cliente 5","2019-1430","Serviços","2019-07-23","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 687.108,56"
"Cliente 5","2019-1426","Serviços","2019-07-29","Upselling","Vendedor 3","Brasil",15,"Time 1","R$ 825.277,68"
"Cliente 5","2019-1509","Serviços","2019-08-01","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 20.297,52"
"Cliente 5","2019-0844","Licenciamento","2019-08-15","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 358.398,00"
"Cliente 5","2018-0676","Licenciamento","2019-08-15","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 2.565.216,00"
"Cliente 5","2019-1513","Serviços","2019-08-30","Upselling","Vendedor 3","Brasil",4,"Time 1","R$ 122.259,00"
"Cliente 5","2019-1614","Serviços","2019-09-10","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 5.566,24"
"Cliente 5","2019-1641","Serviços","2019-09-20","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 396.794,90"
"Cliente 5","2018-0649","Licenciamento","2019-09-20","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 782.418,25"
"Cliente 5","2019-1646","Serviços","2019-09-23","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 156.690,00"
"Cliente 5","2019-1620","Serviços","2019-09-25","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 30.164,40"
"Cliente 5","2019-1281","Licenciamento","2019-09-30","Upselling","Vendedor 3","Brasil",12,"Time 1","R$ 1.293.997,98"
"Cliente 5","2019-1619","Serviços","2019-10-01","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 144.154,80"
"Cliente 5","2019-1622","Serviços","2019-10-01","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 434.718,72"
"Cliente 5","2018-0650","Licenciamento","2019-10-17","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 297.206,68"
"Cliente 5","2018-0651","Licenciamento","2019-10-17","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 627.322,13"
"Cliente 5","2019-0718","Licenciamento","2019-10-17","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 1.989.000,00"
"Cliente 5","2019-0717","Licenciamento","2019-10-17","Renovação","Vendedor 3","Brasil",12,"Time 1","R$ 7.122.171,55"
"Cliente 5","2019-1728","Serviços","2019-10-18","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 50.457,60"
"Cliente 5","2019-1786","Serviços","2019-11-06","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 230.679,30"
"Cliente 5","2019-1859","Serviços","2019-11-14","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 73.168,00"
"Cliente 5","2019-1878","Serviços","2019-11-21","Upselling","Vendedor 3","Brasil",2,"Time 1","R$ 200.150,40"
"Cliente 5","2019-1924","Serviços","2019-12-26","Upselling","Vendedor 3","Brasil",3,"Time 1","R$ 270.714,48"
"Cliente 5","2020-2054","Serviços","2020-01-20","Renovação","Vendedor 3","Brasil",3,"Time 1","R$ 25.756,20"
"Cliente 5","2020-2057","Serviços","2020-01-21","Upselling","Vendedor 3","Brasil",1,"Time 1","R$ 30.527,20"
"Cliente 5","2020-2135","Serviços","2020-03-02","Renovação","Vendedor 3","Brasil",10,"Time 1","R$ 1.047.455,00"
"Cliente 5","2020-2139","Serviços","2020-03-03","Renovação","Vendedor 3","Brasil",3,"Time 1","R$ 90.493,20"
"Cliente 5","2020-2108","Serviços","2020-03-04","Renovação","Vendedor 3","Brasil",10,"Time 1","R$ 350.393,00"
"Cliente 5","2020-2150","Serviços","2020-03-06","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 18.320,40"
"Cliente 5","2020-2149","Serviços","2020-03-06","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 36.639,05"
"Cliente 5","2020-2167","Serviços","2020-03-13","Renovação","Vendedor 3","Brasil",1,"Time 1","R$ 23.031,36"
